PharmGKB Accession Id	Name	Generic Names	Trade Names	RxNorm Identifiers
PA166238901	17-alpha-dihydroequilenin sulfate			
PA166238881	17-alpha-dihydroequilin			
PA166238883	17-alpha-dihydroequilin sulfate			
PA166238882	17-alpha-estradiol sulfate			
PA166238921	17-beta-dihydroequilenin sulfate			
PA166238884	17-beta-dihydroequilin sulfate			
PA166238961	17-beta-estradiol sulfate			
PA164712302	2-amino-1-phenylethanol derivatives			
PA134967247	2-methoxyestradiol			
PA131887008	3,4-methylenedioxymethamphetamine	Ecstasy, MDMA		
PA165958321	3,5-dimethyl-2-(3-pyridyl)thiazolidin-4-one	"""( )-cis-3,5-Dimethyl-2-(3-pyridyl)thiazolidin-4-one hydrochloride"", ""130841-70-2"", ""158511-47-8"", ""3,5-dimethyl-2-(3-pyridyl)thiazolidin-4-one"", ""4-Thiazolidinone, 3,5-dimethyl-2-(3-pyridinyl)-, monohydrochloride, cis-(+-)-"", ""AC1L433Y"", ""SM-10661"", ""SM-12502"""		
PA165858618	3-aminopyridine-2-carboxaldehyde thiosemicarbazone			
PA451993	3-beta-hydroxy-5-androsten-17-one	3-beta-hydroxy-5-androsten-17-one, 5-dehydroepiandrosterone, 5-dhea, dha, dhea, prasterone	Fidelin, OVIGYN-D	
PA166123047	3-cyano-7-ethoxycoumarin			
PA166305281	3-hydroxy darifenacin	2-[(3S)-1-[2-(3-hydroxy-2,3-dihydro-1-benzofuran-5-yl)ethyl]pyrrolidin-3-yl]-2,2-diphenylacetamide	"""UK-148,993"", ""UK-148993"""	
PA164712303	3-oxoandrosten (4) derivatives			
PA166262141	(3R,5R)-fluvastatin	(E,3R,5R)-7-[3-(4-fluorophenyl)-1-propan-2-ylindol-2-yl]-3,5-dihydroxyhept-6-enoic acid		
PA166262142	(3R,5S)-fluvastatin	"""(3R,5S)-7-[3-(4-fluorophenyl)-1-propan-2-yl-2-indolyl]-3,5-dihydroxy-6-heptenoic acid"", ""(E,3R,5S)-7-[3-(4-fluorophenyl)-1-propan-2-ylindol-2-yl]-3,5-dihydroxyhept-6-enoic acid"""		
PA166122786	4,6,4'-trimethylangelicin			
PA166224244	4''-hydroxycannabidiol	5-(4-hydroxypentyl)-2-[(1R,6R)-3-methyl-6-prop-1-en-2-ylcyclohex-2-en-1-yl]benzene-1,3-diol		
PA151958637	4-methylthioamphetamine			
PA154081778	4-methylumbelliferone			
PA164712304	5-androstanon (3) derivatives			
PA166131299	5'-deoxy-5-fluorouridine	5'dFUR, DFUR, doxifluridine		
PA151958362	6,7-dihydroxybergamottin			
PA130230922	6-o-phosphoryl inosine monophosphate			
PA152530740	8-cyclopentyl-1,3-dipropylxanthine	8-cyclopentyl-1		
PA448004	abacavir	ABC, abacavir	Epzicom, Ziagen	190521
PA164754915	abarelix	abarelix	Plenaxis, Plenaxis	301739
PA164747080	abatacept	CTLA4-Ig, CTLA4-IgG4m, CTLA4Ig, CTLA4IgG4m, RG-1046, RG-2077, RG1046, RG2077, abatacept	Orencia, Orencia	614391
PA448006	abciximab	7E3 antibody, ReoPro, abciximab, antiGPIIBIIIa, c7E3	ReoPro	83929
PA166153471	abemaciclib		LY2835219	
PA166116241	abexinostat		pci-24781	
PA166123407	abiraterone		Zytiga	1100072
PA166338841	abivertinib	"""N-[3-[[2-[3-fluoro-4-(4-methylpiperazin-1-yl)anilino]-7H-pyrrolo[2,3-d]pyrimidin-4-yl]oxy]phenyl]prop-2-enamide"", ""avitinib"""		
PA166272921	abrocitinib	N-[3-[methyl(7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino]cyclobutyl]propane-1-sulfonamide	PF 04965842	2591476
PA166104276	ABT-751	E7010, N-[2-(4-hydroxyanilino)-3-pyridinyl]-4-methoxybenzenesulfonamide		1661017
PA166198581	acalabrutinib	4-[8-amino-3-[(2S)-1-but-2-ynoylpyrrolidin-2-yl]imidazo[1,5-a]pyrazin-1-yl]-N-pyridin-2-ylbenzamide	Calquence	1986808
PA10344	acamprosate	3-(Acetylamino)propanesulphonic acid, 3-Acetamido-1-propanesulfonic acid, N-Acetylhomotaurine, acamprosate	Campral	82819
PA448010	acarbose		Glucobay, Prandase, Precose	16681
PA166340542	acebilustat	4-[[(1S,4S)-5-[[4-[4-(1,3-oxazol-2-yl)phenoxy]phenyl]methyl]-2,5-diazabicyclo[2.2.1]heptan-2-yl]methyl]benzoic acid		
PA448011	acebutolol	Acebutolol HCL, Acebutololo, Acetobutolol, acebutolol hydrochloride, dl-Acebutolol	Monitan, Neptal, Prent, Sectral	149
PA166049185	aceclofenac			16689
PA164712305	ACE inhibitors and calcium channel blockers			
PA164712306	ACE inhibitors and diuretics			
PA164712307	Ace Inhibitors, Combinations			
PA164712308	Ace Inhibitors, Plain	Ace Inhibitor		
PA166049184	acemetacin			
PA452632	acenocoumarol	Acenocoumarin, Acenocoumarolum [inn-latin], Nicoumalone, Nicumalon, Nitrophenylacetylethyl-4-hydroxycoumarine, Nitrovarfarian, Nitrowarfarin	Ascumar, Mini-sintrom, Neositron, Sincoumar, Sinkumar, Sinthrom, Sinthrome, Sintrom, Syncoumar, Syncumar, Syntrom, Zotil	154
PA164783999	acepromazine	10-(3-dimethylaminopropyl)phenothiazin-3-yl methyl ketone, 10-(3-dimethylaminopropyl)phenothiazine-3-ethylone, ACP, Ace, Acetylpromazine	Acezine 2, Atravet	155
PA164743727	aceprometazine	10-(2-(Dimethylamino)propyl)phenothiazin-2-yl methyl ketone, Aceprometazina [inn-spanish], Aceprometazinum [inn-latin], Acepromethazine	Mepronizine	161203
PA448015	acetaminophen	APAP, Acetaminofen, Paracetamol, Paracetamolo, Paracetanol	Abenol, Abensanil, Acamol, Accu-Tap, Acephen, Aceta Elixir, Aceta Tablets, Acetagesic, Acetalgin, Actamin, Actimol, Algotropyl, Allay, Alpiny, Alpinyl, Alvedon, Amadil, Aminofen, Anacin, Anacin-3, Anaflon, Anapap, Anelix, Anhiba, Apacet, Apadon, Apamid, Apamide, Atasol, Banesin, Bayer Select, Bickie-mol, Bucet, Butapap, Calpol, Captin, Cetadol, Clixodyne, Co-Gesic, Conacetol, Dafalgan, Dapa, Dapa X-S, Darvocet, Datril, Dimindol, Dirox, Disprol, Dolene AP-65, Doliprane, Dolprone, Drixoral Plus, Dularin, Dymadon, Dypap, Elixodyne, Enelfa, Eneril, Eu-Med, Excedrin, Exdol, Febridol, Febrilix, Febrinol, Febro-Gesic, Febrolin, Fendon, Feverall, Fevor, Finimal, Gelocatil, Genapap, Genebs, Hedex, Homoolan, Hy-Phen, Injectapap, Janupap, Korum, Lestemp, Liquagesic, Liquiprin, Lonarid, Lyteca, Momentum, Multin, NAPA, Napafen, Napap, Naprinol, Nealgyl, Nebs, Neopap, Neotrend, Nobedon, Norco, Oraphen-PD, Ortensan, Pacemo, Painex, Paldesic, Panadol, Panaleve, Panasorb, Panets, Panex, Panofen, Papa-Deine, Paracet, Parapan, Paraspen, Parelan, Parmol, Pasolind, Pasolind N, Pedric, Phenaphen, Phenaphen Caplets, Phendon, Phrenilin, Phrenilin Forte, Prompt, Propacet 100, Proval #3, Pyrinazine, Redutemp, Rivalgyl, Robigesic, Rounox, SK-Apap, Salzone, Sedapap, Servigesic, Snaplets-FR, St. Joseph Fever Reducer, Suppap, Synalgos-Dc-A, Tabalgin, Talacen, Tapanol, Tapar, Tavist Allergy/Sinus/Headache, Temlo, Tempanal, Tempra, Tencon, Tibinide, Tibizide, Tisin, Tisiodrazida, Tizide, Tralgon, Triaprin, Tussapap, Tycolet, Tylenol, Ultracet, Valadol, Valgesic, Valorin, Valorin Extra, Wygesic	161
PA166246281	acetaminophen / caffeine / dihydrocodeine			689569
PA166184061	acetaminophen / codeine	(4aR,7S,7aR,12bS)-9-methoxy-3-methyl-2,4,4a,7,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-ol;N-(4-hydroxyphenyl)acetamide;phosphoric acid		817579
PA165290927	acetaminophen / propoxyphene napsylate		Darvocet	
PA166184496	acetaminophen / tramadol			353062
PA448016	acetanilide			162
PA448018	acetazolamide	Acetamidothiadiazolesulfonamide, Acetazolamid, Acetazolamide Sodium, Acetazolamine, Acetazoleamide, Acetozalamide, Carbonic Anhydrase Inhibitor 6063	Acetamox, Acetazolam, Ak-Zol, Apo-Acetazolamide, Atenezol, Cidamex, Dazamide, Defiltran, Dehydratin, Diacarb, Diakarb, Diamox, Diamox Sequels, Didoc, Diluran, Diuramid, Diureticum-Holzinger, Diuriwas, Diutazol, Donmox, Duiramid, Edemox, Eumicton, Fonurit, Glaupax, Glupax, Natrionex, Nephramid, Nephramide, Phonurit, Sk-Acetazolamide, Storzolamide, Vetamox	167
PA448021	acetic acid	acetate, ethanoat, ethanoate, ethanoic acid, glacial acetic acid	Acetasol, Borofair, Volsol	168
PA164712309	Acetic acid derivatives and related substances			
PA164777011	acetohexamide	Acetohexamid	Cyclamide, Dimelin, Dimelor, Dymelor, Gamadiabet, Hypoglicil, Metaglucina, Minoral, Ordimel, Tsiklamid	173
